"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021055998,"02","1","2820 N MARKET ST","","ELIZABETHTOWN","PA","17022","JT MAINTENANCE (OPERATING FEDEX","8004633339","016000","","","","","N","","","","","","N","","1","00265752","02"
2021084108,"05","1","14 LEAHCREST CRES","","WINNIPEG","MB","R2P1N9","TRANSDIRECT FREIGHTLINES INC","9999999999","080000","","","","","N","","","","","","N","","2","03100369","08"
2021096912,"05","1","5050 ALEX LEE BLVD","","HICKORY","NC","28621","MERCHANTS TRANSPORT LLC","8284480767","080000","","","","","N","","","","","","N","","2","00048104","08"
2021117135,"03","0","133 R E CHURCH ST","","STEVENS","PA","17578","CONCRETE WALLS UNLIMITED","7173352442","","","","","","N","","","","","","","PA043353","1","00999191","04"
2021128366,"05","99","40 STEWART AVENUE","","SHARON","PA","16146","CHADDERTON TRUCKING INC","7249815050","080000","","","","","N","","","","","","","","2","00085147","08"
2021128589,"99","99","1394 N STRICKLER RD","","MANHEIM","PA","17545","WOLFE MANUFACTURED SET-UP LLC","9999999999","019500","","","","","N","","","","","","","","2","","99"
2021010935,"01","4","3476 MARIETTA AVE","","LANCASTER","PA","17601","WEST HEMPFIELD TOWNSHIP","7172855554","041000","","","","","N","","","","","","N","","1","","05"
2021016302,"03","3","615 HIGBEE ST.","","MILFORD","IN","46542","CMT TRANSPORT LLC","5746588564","","","","","","N","","","","","","N","708900","2","02011124","06"
2021045496,"05","1","8527 GOKEY ROAD","","LADYSMITH","WI","54848","RANDS TRUCKING INCORPORATED","7155326663","027000","","","","","N","","","","","","N","A-00167498","2","00230791","08"
2021092419,"02","1","1930 LA SALLE AVE","","LANCASTER","PA","17601","PENSKE","6107756000","","","","","","N","","","","","","","","1","00327574","03"
2021093076,"99","99","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","888888","","","","","N","","","","","","","","1","","08"
2021017310,"02","4","2105 LINCOLN HIGHWAY","","LANCASTER","PA","17602","PENNDOT","7172997621","041000","","","","","N","","","","","","N","","2","00000009","03"
2021050863,"05","6","6801 SW 6TH STREET","","PEMBROKE PINES","FL","33023","JCBH AUTO TRANSPORT, LLC","3057851402","080000","","","","","N","","","","","","N","","1","02927803","08"
